,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
1862,2018-09-11,37.400001525878906,37.45000076293945,36.900001525878906,37.29999923706055,342500,0,0,ECPG,Finance,Finance Companies,-0.0026738578807052418,-0.004031562732649783,-0.0021865368723384144
1863,2018-09-12,37.34999847412109,37.84999847412109,36.900001525878906,37.0,229000,0,0,ECPG,Finance,Finance Companies,-0.009370776129043008,-0.02143273459654903,-0.009228617903237948
1864,2018-09-13,37.0,37.650001525878906,36.900001525878906,37.5,222900,0,0,ECPG,Finance,Finance Companies,0.013513513513513514,0.0023498328570748053,0.011760975304970125
1865,2018-09-14,37.34999847412109,38.650001525878906,37.29999923706055,38.5,409500,0,0,ECPG,Finance,Finance Companies,0.030789868081941736,-0.0120504019559212,0.028957825530296504
1866,2018-09-17,38.650001525878906,38.650001525878906,37.650001525878906,38.34999847412109,312300,0,0,ECPG,Finance,Finance Companies,-0.007762045017176684,-0.054552678600626806,-0.007541516531462298
1867,2018-09-18,38.45000076293945,38.75,37.91999816894531,38.5,288900,0,0,ECPG,Finance,Finance Companies,0.001300370248854177,-0.05854019530211332,-0.0011511999574316323
1868,2018-09-19,38.5,38.75,38.22999954223633,38.5,323900,0,0,ECPG,Finance,Finance Companies,0.0,-0.10863112594558064,0.0006165753297669481
1869,2018-09-20,38.650001525878906,38.95000076293945,38.20000076293945,38.54999923706055,248600,0,0,ECPG,Finance,Finance Companies,-0.0025873812385596097,0.11077979666433517,-0.001364338370591861
1870,2018-09-21,38.54999923706055,38.72999954223633,38.04999923706055,38.20000076293945,519500,0,0,ECPG,Finance,Finance Companies,-0.009079078626404178,-0.025812481796696145,-0.004102742296594562
1871,2018-09-24,38.150001525878906,38.400001525878906,37.34999847412109,37.900001525878906,275300,0,0,ECPG,Finance,Finance Companies,-0.006553079685472973,0.01221064944317201,-0.009120396375490317
1872,2018-09-25,37.900001525878906,38.72999954223633,36.95000076293945,37.75,627000,0,0,ECPG,Finance,Finance Companies,-0.003957823742473522,0.0075755922486034225,-0.0046484366559336006
1873,2018-09-26,37.84999847412109,37.84999847412109,37.0,37.20000076293945,419100,0,0,ECPG,Finance,Finance Companies,-0.017172991740701176,-0.02462455027164471,-0.01801779383109325
1874,2018-09-27,37.09999847412109,37.29999923706055,36.79999923706055,37.0,199400,0,0,ECPG,Finance,Finance Companies,-0.0026953767718033753,0.002726235395722886,-0.0025737838187528538
1875,2018-09-28,36.900001525878906,36.95000076293945,35.79999923706055,35.849998474121094,262100,0,0,ECPG,Finance,Finance Companies,-0.028455366079630614,0.0013398227115629098,-0.026751283494291338
1876,2018-10-01,36.02000045776367,36.209999084472656,35.560001373291016,35.619998931884766,261700,0,0,ECPG,Finance,Finance Companies,-0.011104983919918047,-0.01755843554123811,-0.015659166611742437
1877,2018-10-02,33.0,35.04999923706055,31.68000030517578,34.900001525878906,635900,0,0,ECPG,Finance,Finance Companies,0.057575803814512314,-0.005893682211114496,0.054609779576802145
1878,2018-10-03,34.939998626708984,34.9900016784668,34.22999954223633,34.2400016784668,258700,0,0,ECPG,Finance,Finance Companies,-0.020034258035347856,0.0016561526451018677,-0.015888435860246564
1879,2018-10-04,34.25,34.36000061035156,32.959999084472656,33.02000045776367,440200,0,0,ECPG,Finance,Finance Companies,-0.035912395393761405,-0.016293175526722107,-0.03433892542943336
1880,2018-10-05,33.130001068115234,33.38999938964844,32.52000045776367,33.029998779296875,523200,0,0,ECPG,Finance,Finance Companies,-0.003018481303781271,-0.03278976796372446,-0.0028316413642121797
